Year,Programme,Applications,Admissions,Enrolment,Average Score,Completion Rate
2015,Accounting,995,587,380,69.5,83.7
2015,Business Administration,2167,1269,726,65.9,80.8
2015,Computer Science,1822,656,419,75.1,75.4
2015,Data Science,354,164,93,71.6,79.2
2015,Education,894,614,419,59.5,81.7
2015,Law,1576,353,302,79.8,87.3
2015,Mechanical Engineering,1216,547,346,73.8,71.1
2015,Medicine,2566,237,226,87.6,92.8
2015,Nursing,1490,494,341,70.4,84.8
2015,Psychology,1319,687,383,67.0,80.8
2016,Accounting,1006,615,357,67.5,83.1
2016,Business Administration,2226,1166,667,66.1,79.7
2016,Computer Science,1860,704,431,74.3,76.8
2016,Data Science,416,183,116,71.3,81.3
2016,Education,859,581,396,57.7,78.5
2016,Law,1674,376,296,80.9,85.9
2016,Mechanical Engineering,1210,487,292,72.0,73.3
2016,Medicine,2368,233,226,88.8,95.8
2016,Nursing,1670,588,452,70.8,83.2
2016,Psychology,1358,687,396,65.1,78.5
2017,Accounting,1013,563,316,64.7,80.8
2017,Business Administration,2329,1296,734,63.5,81.7
2017,Computer Science,2214,856,532,76.1,79.2
2017,Data Science,486,211,127,73.4,81.4
2017,Education,788,473,304,61.1,80.8
2017,Law,1633,354,286,80.5,88.6
2017,Mechanical Engineering,1269,498,314,72.6,73.4
2017,Medicine,2666,272,264,88.7,94.4
2017,Nursing,1560,526,422,70.7,86.2
2017,Psychology,1384,705,418,64.9,78.5
2018,Accounting,982,561,363,68.6,82.0
2018,Business Administration,2285,1271,738,67.2,82.2
2018,Computer Science,2251,844,503,76.1,78.5
2018,Data Science,656,282,166,74.1,80.2
2018,Education,815,584,406,60.2,83.1
2018,Law,1741,386,313,81.4,88.1
2018,Mechanical Engineering,1286,555,368,73.1,73.0
2018,Medicine,2591,260,233,89.5,91.6
2018,Nursing,1626,596,448,71.9,85.2
2018,Psychology,1527,735,405,66.5,80.4
2019,Accounting,1014,576,342,67.6,84.1
2019,Business Administration,2284,1267,741,67.0,83.8
2019,Computer Science,2522,885,576,75.2,77.7
2019,Data Science,736,301,174,74.0,80.7
2019,Education,783,510,329,58.6,79.3
2019,Law,1649,369,294,83.9,91.1
2019,Mechanical Engineering,1238,526,334,72.1,73.9
2019,Medicine,2786,276,266,89.3,96.1
2019,Nursing,1709,611,444,70.9,83.1
2019,Psychology,1492,796,469,67.4,80.2
2020,Accounting,868,530,272,69.0,81.9
2020,Business Administration,2168,1280,630,66.2,75.4
2020,Computer Science,2403,889,506,77.7,74.1
2020,Data Science,855,359,195,76.0,75.0
2020,Education,653,462,298,60.3,76.2
2020,Law,1540,326,230,84.4,83.8
2020,Mechanical Engineering,1120,530,327,74.0,68.3
2020,Medicine,2520,232,199,88.6,86.9
2020,Nursing,2168,819,561,74.1,80.7
2020,Psychology,1485,735,341,69.9,73.8
2021,Accounting,1009,627,378,69.8,80.6
2021,Business Administration,2439,1249,743,66.8,77.3
2021,Computer Science,3277,1141,693,76.6,76.6
2021,Data Science,1175,483,286,75.1,76.0
2021,Education,697,485,318,59.9,79.4
2021,Law,1783,358,297,83.6,84.0
2021,Mechanical Engineering,1199,489,312,76.5,70.8
2021,Medicine,3039,314,281,88.9,90.3
2021,Nursing,2197,777,566,75.9,83.9
2021,Psychology,1605,855,456,66.6,73.7
2022,Accounting,993,553,338,66.7,83.9
2022,Business Administration,2424,1354,812,68.1,87.1
2022,Computer Science,3439,1203,721,75.5,79.3
2022,Data Science,1435,590,354,75.0,81.4
2022,Education,684,453,286,59.9,81.6
2022,Law,1742,388,311,81.3,87.9
2022,Mechanical Engineering,1253,470,294,72.4,73.1
2022,Medicine,2808,271,252,90.1,94.4
2022,Nursing,2095,740,521,71.8,87.7
2022,Psychology,1601,818,476,67.0,77.1
2023,Accounting,1043,616,365,68.3,82.9
2023,Business Administration,2620,1370,727,66.1,81.1
2023,Computer Science,3693,1323,798,77.1,78.9
2023,Data Science,1763,733,432,74.7,78.1
2023,Education,672,464,311,62.4,81.1
2023,Law,1784,395,335,78.7,87.1
2023,Mechanical Engineering,1254,524,307,72.0,77.0
2023,Medicine,2762,280,258,89.3,95.7
2023,Nursing,2194,761,555,75.6,84.5
2023,Psychology,1554,779,436,67.4,80.4
2024,Accounting,1037,546,323,65.5,80.4
2024,Business Administration,2586,1379,795,67.2,82.8
2024,Computer Science,3944,1422,890,78.0,79.1
2024,Data Science,1974,758,437,75.6,79.5
2024,Education,615,441,287,62.2,82.1
2024,Law,1842,411,324,79.8,88.2
2024,Mechanical Engineering,1245,494,334,77.4,73.3
2024,Medicine,2873,279,263,87.0,95.0
2024,Nursing,2059,744,542,74.1,85.5
2024,Psychology,1782,925,532,67.5,78.3
